city,last_buy_time,title,house_id,area,publish_time,watch_num,average_price,location,focus_num,community,price,model,link
80,2017-07-31,"104.132696,30.678172",2013-04-27,成华,89.0,https://cd.lianjia.com/ershoufang/106100533675.html,13259,113,红枫岭三期 有装修 两室两厅一厨两卫,红枫岭三期  , 2室2厅 ,106100533675,1180000.0
55,2017-08-02,"104.064143,30.602297",2015-04-22,高新,88.28,https://cd.lianjia.com/ershoufang/106100536818.html,19484,61,南城都汇汇尚园 两室两厅单卫 有装修 满2年,南城都汇汇尚园  , 2室1厅 ,106100536818,1720000.0
26,2017-08-13,"104.078649,30.551507",2011-04-06,高新,127.44,https://cd.lianjia.com/ershoufang/106100567159.html,16950,26,天府三街 英郡一期  户型通透方正三房,英郡一期  , 3室2厅 ,106100567159,2160000.0
24,2017-08-21,"104.11809,30.666155",2010-06-29,成华,89.53,https://cd.lianjia.com/ershoufang/106100588383.html,13962,55,新龙苑东区 套二带花园 有装修 户型方正,新龙苑东区  , 2室2厅 ,106100588383,1250000.0
16,2017-08-25,"104.101403,30.714324",2010-05-08,成华,119.13,https://cd.lianjia.com/ershoufang/106100598124.html,11584,24,兴元华盛   清水套三双卫  视野开阔 看房有钥匙,兴元华盛一期  , 3室2厅 ,106100598124,1380000.0
176,2017-07-13,"103.99183326109,30.712544991607",2009-07-23,金牛,81.55,https://cd.lianjia.com/ershoufang/106100486885.html,11037,39,西线阳光，标准套二，有装修，采光好,西线阳光  , 2室1厅 ,106100486885,900000.0
334,2017-08-14,"104.041227,30.604837",2015-02-09,高新,105.78,https://cd.lianjia.com/ershoufang/106100568689.html,11912,44,美洲花园三期套三 五跃六带楼顶花园有装修阳台飘窗,美洲花园三期  , 3室2厅 ,106100568689,1260000.0
97,2017-08-17,"104.045992,30.605155",2011-07-14,高新,112.32,https://cd.lianjia.com/ershoufang/106100577372.html,14691,44,美洲花园五期 电梯小洋楼 带大阳台 带平台,美洲花园城南公馆  , 3室1厅 ,106100577372,1650000.0
16,2017-08-17,"104.068221,30.523746",2003-08-02,天府新区,157.13,https://cd.lianjia.com/ershoufang/106100578733.html,10120,30,华阳滨河花园 临河套四 有装修 精装空房,华阳滨河花园  , 4室2厅 ,106100578733,1590000.0
18,2017-06-03,"104.044265,30.662501",1998-06-01,青羊,50.44,https://cd.lianjia.com/ershoufang/106100389102.html,26765,25,百花西路上，中间楼层，临百花西路,百花西路9号  , 2室2厅 ,106100389102,1350000.0
227,2016-10-31,"104.06485342,30.58678507",2013-01-01,高新,184.69,https://cd.lianjia.com/ershoufang/106092866017.html,35195,138,中海城南一号业主自住装修四居，中高楼层，视野无遮挡,中海城南一号一期  , 4室2厅 ,106092866017,6500000.0
63,2017-08-17,"104.053736,30.561246",2011-10-13,高新,125.2,https://cd.lianjia.com/ershoufang/106100578079.html,23962,38,中海兰庭E户型中庭套四双卫出售,中海兰庭  , 4室2厅 ,106100578079,3000000.0
61,2017-08-12,"104.139056,30.666008",2012-04-01,成华,68.77,https://cd.lianjia.com/ershoufang/106100564042.html,14542,45,东2.5环，上霖东方，套二改成套三，客厅带阳台！,上霖东方  , 2室1厅 ,106100564042,1000000.0
163,2017-08-01,"104.065181,30.613967",2012-01-02,武侯,72.59,https://cd.lianjia.com/ershoufang/106100534229.html,14879,59,居家装修套二、不临街、客厅带阳台,上锦雅筑  , 2室2厅 ,106100534229,1080000.0
